time	I(C1)	I(L1)	I(R1)
1.181591542648568e+00	4.809967e+00	-3.356182e-01	-4.474349e+00
1.184381721219996e+00	4.806840e+00	-3.252156e-01	-4.481624e+00
1.187171899791425e+00	4.802221e+00	-3.147053e-01	-4.487516e+00
1.189962078362853e+00	4.796112e+00	-3.040875e-01	-4.492025e+00
1.192752256934282e+00	4.788512e+00	-2.933620e-01	-4.495150e+00
1.200843774791425e+00	4.757689e+00	-2.615328e-01	-4.496156e+00
1.208935292648568e+00	4.714841e+00	-2.291961e-01	-4.485645e+00
1.217026810505710e+00	4.659967e+00	-1.963519e-01	-4.463616e+00
1.225118328362853e+00	4.593069e+00	-1.630003e-01	-4.430069e+00
1.233209846219996e+00	4.514145e+00	-1.291413e-01	-4.385004e+00
1.241301364077139e+00	4.423196e+00	-9.477478e-02	-4.328421e+00
1.249392881934282e+00	4.320221e+00	-5.990081e-02	-4.260321e+00
1.263064756934282e+00	4.121618e+00	-9.548122e-04	-4.120664e+00
1.266971006934282e+00	4.059073e+00	1.595298e-02	-4.075026e+00
1.270877256934282e+00	3.994166e+00	3.283414e-02	-4.027000e+00
1.274783506934282e+00	3.926898e+00	4.968867e-02	-3.976586e+00
1.278689756934282e+00	3.857267e+00	6.651656e-02	-3.923784e+00
1.282596006934282e+00	3.785275e+00	8.331782e-02	-3.868593e+00
1.286502256934282e+00	3.710921e+00	1.000924e-01	-3.811014e+00
1.290408506934282e+00	3.634206e+00	1.168404e-01	-3.751046e+00
1.300174131934282e+00	3.430942e+00	1.587285e-01	-3.589670e+00
1.309939756934282e+00	3.216804e+00	1.996876e-01	-3.416492e+00
1.319705381934282e+00	2.991792e+00	2.397176e-01	-3.231510e+00
1.329471006934282e+00	2.755905e+00	2.788187e-01	-3.034724e+00
1.339236631934282e+00	2.509145e+00	3.169907e-01	-2.826135e+00
1.349002256934282e+00	2.251510e+00	3.542337e-01	-2.605743e+00
1.358767881934282e+00	1.983000e+00	3.905477e-01	-2.373548e+00
1.366580381934282e+00	1.763159e+00	4.184311e-01	-2.181591e+00
1.374392881934282e+00	1.540385e+00	4.451755e-01	-1.985560e+00
1.382205381934282e+00	1.314676e+00	4.707809e-01	-1.785457e+00
1.390017881934282e+00	1.086034e+00	4.952471e-01	-1.581281e+00
1.397830381934282e+00	8.544573e-01	5.185744e-01	-1.373032e+00
1.405642881934282e+00	6.199469e-01	5.407626e-01	-1.160710e+00
1.413455381934282e+00	3.825026e-01	5.618117e-01	-9.443143e-01
1.417082614077139e+00	2.724009e-01	5.710774e-01	-8.434783e-01
1.420709846219996e+00	1.622916e-01	5.800393e-01	-7.423309e-01
1.424337078362853e+00	5.217479e-02	5.886975e-01	-6.408723e-01
1.427964310505710e+00	-5.794955e-02	5.970520e-01	-5.391025e-01
1.431591542648568e+00	-1.680814e-01	6.051028e-01	-4.370213e-01
1.435218774791425e+00	-2.782208e-01	6.128498e-01	-3.346289e-01
1.438846006934282e+00	-3.883678e-01	6.202931e-01	-2.319253e-01
1.441357167648568e+00	-4.644616e-01	6.252553e-01	-1.607937e-01
1.443868328362853e+00	-5.403967e-01	6.300607e-01	-8.966407e-02
1.446379489077139e+00	-6.161729e-01	6.347094e-01	-1.853652e-02
1.448890649791425e+00	-6.917904e-01	6.392014e-01	5.258899e-02
1.451401810505710e+00	-7.672491e-01	6.435366e-01	1.237125e-01
1.453912971219996e+00	-8.425491e-01	6.477151e-01	1.948339e-01
1.456424131934282e+00	-9.176902e-01	6.517369e-01	2.659533e-01
1.462283506934282e+00	-1.092581e+00	6.605110e-01	4.320699e-01
1.468142881934282e+00	-1.265433e+00	6.683756e-01	5.970572e-01
1.474002256934282e+00	-1.436246e+00	6.753308e-01	7.609152e-01
1.479861631934282e+00	-1.605020e+00	6.813765e-01	9.236439e-01
1.485721006934282e+00	-1.771756e+00	6.865128e-01	1.085243e+00
1.491580381934282e+00	-1.936453e+00	6.907396e-01	1.245713e+00
1.497439756934282e+00	-2.099111e+00	6.940570e-01	1.405054e+00
1.500229935505710e+00	-2.175373e+00	6.953004e-01	1.480072e+00
1.503020114077139e+00	-2.250912e+00	6.963313e-01	1.554581e+00
1.505810292648568e+00	-2.325730e+00	6.971496e-01	1.628580e+00
1.508600471219996e+00	-2.399825e+00	6.977554e-01	1.702070e+00
1.511390649791425e+00	-2.473198e+00	6.981487e-01	1.775050e+00
1.514180828362853e+00	-2.545850e+00	6.983294e-01	1.847520e+00
1.516971006934282e+00	-2.617779e+00	6.982976e-01	1.919482e+00
1.522830381934282e+00	-2.766548e+00	6.975267e-01	2.069021e+00
1.528689756934282e+00	-2.911110e+00	6.958268e-01	2.215284e+00
1.534549131934282e+00	-3.051466e+00	6.931979e-01	2.358268e+00
1.540408506934282e+00	-3.187614e+00	6.896402e-01	2.497974e+00
1.546267881934282e+00	-3.319556e+00	6.851535e-01	2.634402e+00
1.552127256934282e+00	-3.447290e+00	6.797378e-01	2.767552e+00
1.557986631934282e+00	-3.570818e+00	6.733932e-01	2.897425e+00
1.569147346219996e+00	-3.793864e+00	6.585599e-01	3.135304e+00
1.580308060505710e+00	-3.996122e+00	6.407709e-01	3.355351e+00
1.591468774791425e+00	-4.177592e+00	6.200262e-01	3.557566e+00
1.602629489077139e+00	-4.338275e+00	5.963258e-01	3.741950e+00
1.613790203362853e+00	-4.478171e+00	5.696698e-01	3.908501e+00
