time	I(C1)**2	I(L1)**2	I(R1)**2
1.580308060505710e+00	1.596899e+01	4.105873e-01	1.125838e+01
1.591468774791425e+00	1.745228e+01	3.844325e-01	1.265628e+01
1.602629489077139e+00	1.882063e+01	3.556045e-01	1.400219e+01
1.613790203362853e+00	2.005402e+01	3.245237e-01	1.527638e+01
1.624950917648568e+00	2.113497e+01	2.916628e-01	1.646104e+01
1.636111631934282e+00	2.204866e+01	2.575469e-01	1.754026e+01
1.641691989077139e+00	2.242290e+01	2.404574e-01	1.801933e+01
1.647272346219996e+00	2.274404e+01	2.234413e-01	1.845884e+01
1.652852703362853e+00	2.301088e+01	2.065562e-01	1.885714e+01
1.658433060505710e+00	2.322242e+01	1.898612e-01	1.921274e+01
1.664013417648568e+00	2.337791e+01	1.734175e-01	1.952434e+01
1.669593774791425e+00	2.347675e+01	1.572878e-01	1.979081e+01
1.675174131934282e+00	2.351860e+01	1.415368e-01	2.001116e+01
1.677964310505710e+00	2.351756e+01	1.338612e-01	2.010285e+01
1.680754489077139e+00	2.350211e+01	1.263260e-01	2.018232e+01
1.683544667648568e+00	2.347227e+01	1.189377e-01	2.024951e+01
1.686334846219996e+00	2.342806e+01	1.117028e-01	2.030435e+01
1.689125024791425e+00	2.336952e+01	1.046280e-01	2.034679e+01
1.691915203362853e+00	2.329671e+01	9.772002e-02	2.037679e+01
1.694705381934282e+00	2.320970e+01	9.098549e-02	2.039432e+01
1.702796899791425e+00	2.287440e+01	7.243687e-02	2.037238e+01
1.710888417648568e+00	2.242819e+01	5.577698e-02	2.024703e+01
1.718979935505710e+00	2.187445e+01	4.109926e-02	2.001921e+01
1.727071453362853e+00	2.121739e+01	2.849853e-02	1.969068e+01
1.735162971219996e+00	2.046209e+01	1.807093e-02	1.926398e+01
1.743254489077139e+00	1.961447e+01	9.913940e-03	1.874244e+01
1.751346006934282e+00	1.868133e+01	4.126379e-03	1.813017e+01
1.753857167648568e+00	1.837790e+01	2.840536e-03	1.792377e+01
1.756368328362853e+00	1.806808e+01	1.793569e-03	1.770984e+01
1.758879489077139e+00	1.775211e+01	9.858657e-04	1.748851e+01
1.761390649791425e+00	1.743022e+01	4.178155e-04	1.725997e+01
1.763901810505710e+00	1.710266e+01	8.980706e-05	1.702436e+01
1.766412971219996e+00	1.676966e+01	2.229450e-06	1.678189e+01
1.768924131934282e+00	1.643147e+01	1.554720e-04	1.653272e+01
1.774783506934282e+00	1.562232e+01	1.453886e-03	1.592519e+01
1.780642881934282e+00	1.479532e+01	4.051411e-03	1.528904e+01
1.786502256934282e+00	1.395365e+01	7.926580e-03	1.462672e+01
1.792361631934282e+00	1.310061e+01	1.305804e-02	1.394087e+01
1.798221006934282e+00	1.223966e+01	1.942458e-02	1.323428e+01
1.804080381934282e+00	1.137441e+01	2.700506e-02	1.250987e+01
1.809939756934282e+00	1.050862e+01	3.577850e-02	1.177075e+01
1.820821453362853e+00	8.907289e+00	5.516134e-02	1.036436e+01
1.831703149791425e+00	7.380255e+00	7.782930e-02	8.973867e+00
1.842584846219996e+00	5.944637e+00	1.033594e-01	7.615713e+00
1.853466542648568e+00	4.618240e+00	1.313441e-01	6.307246e+00
